gene,signal
Tcea3,-0.077269
Csn3,0.000394
Ifrd1,0.216608
Stk38l,0.047768
Brpf1,0.049255
Akr1b3,-0.001741
Hoxc13,-0.001909
Hoxc11,-0.000169
Hoxc8,-0.000127
Hoxc6,-0.047903
Gstt1,-0.159069
Gstt3,-0.057427
Ddt,-0.025328
Tat,0.084567
Marveld3,0.00542
Ddx18,0.04511
Ubl3,0.079053
Gramd3,0.159795
Eef1e1,0.066347
Akt1,0.066571
Cldn15,-0.004801
Il16,0.056128
Tcirg1,0.100658
Naglu,-0.058198
Coasy,-0.061534
Smo,-0.083158
Tspan33,0.000518
Crnkl1,0.054839
Rin2,0.210258
Folh1,0.007787
Chordc1,-0.13083
Rtcb,0.000811
Pwp1,0.080192
Fbxo7,-0.004081
Capns1,-0.000677
Lrp3,-0.002167
Evx2,-7e-06
Hoxd13,-0.004373
Hoxd12,-0.000528
Folr1,0.000374
Clpb,-7.5e-05
Sept7,-0.000101
Zdhhc4,0.002217
Rac1,0.027694
Nup214,0.000765
Aif1l,-0.002992
Cpa3,-0.035736
Ltbp1,0.003578
Ugp2,7.7e-05
Kcnh6,-8.8e-05
Trmt1,0.001113
Nacc1,0.00059
Nfix,-0.000185
Slc1a5,0.051306
Uba1,0.05352
Vwf,-0.105018
Siae,-0.004485
Vsig2,-0.008531
Esam,0.04099
Spa17,-0.065505
Fam50a,-0.066937
Emd,0.005472
Taco1,-0.071658
Grik3,0.000559
Gria3,-0.062105
Npas1,-0.00046
Sipa1l2,0.000957
Ap4e1,0.001508
Blvra,-0.059791
Pdzd4,-0.001161
Srpk3,-0.195564
Idh3g,-0.040424
Pnck,-0.069082
Ssr4,-0.002594
Bcap31,-0.075113
Fam98a,-0.04579
Ltbp2,-0.002091
Kmt2a,0.027996
Ift46,-0.045063
Tmem25,-0.087249
Cd3g,-0.099866
Trappc6a,-0.105747
Supt6,0.087912
Spag5,-0.124593
Foxn1,-0.021156
Unc119,-0.046583
Rab34,0.070712
Sdf2,-0.065807
Ccne1,-0.077356
Hsf2bp,0.09046
Bbc3,0.073783
Mybpc3,0.080209
Psmc3,0.000124
Acp2,0.052539
Rapsn,-0.06361
Slc39a13,-9e-06
Celf2,-0.000266
Nr1h3,0.090561
Ddb2,-0.092648
Spi1,0.23773
Sf3a1,-5e-04
Stat6,0.090628
Clgn,-0.001567
Napsa,0.122961
Vrk3,0.051836
Smg9,0.005288
Paxip1,-0.00056
Rmnd5a,-0.050417
Mov10,0.259223
Ppm1j,0.001151
Rhoc,0.33314
Tead3,0.063581
Ppard,0.109093
Def6,0.007396
Peg3,-0.005073
Zim1,-0.000531
Metrn,-0.10914
Lmf1,-0.05882
Narfl,-0.000934
Angptl4,0.319911
Dbf4,-0.004302
Daxx,0.438448
Cd320,-0.000468
Ipo4,0.046719
Tm9sf1,0.005293
Rec8,-0.00378
Irf9,0.361584
Gmpr2,-0.001308
Mdp1,-0.093071
Dhrs1,-0.12877
Ncan,0.001541
Tmem161a,8.5e-05
Armc6,-0.004877
Borcs8,-0.103453
Slc25a42,-0.050566
Snx9,-0.003914
Ranbp3,0.00156
Ndufa11,-0.021985
Bmp8b,0.001238
Nr2f6,-0.000892
Use1,-0.000267
Ocel1,-0.058275
Dyrk1b,-0.000601
Braf,0.050655
Ndufb2,-2.9e-05
Hltf,-0.000337
Prpf6,0.000549
Rgs19,0.051287
Rgs20,0.034868
Abhd3,-0.001898
Snrpd1,0.077711
Tchp,-0.000346
Tiam1,0.055944
Tsc2,-0.059507
