gene,signal
A2m,0.110085
Klrg1,-0.070537
Mfap5,-0.100013
Gdf3,0.000302
Mlf2,-0.00049
Ptms,-0.039523
Plxnd1,-0.088562
Lag3,0.03576
Lrrc23,-0.032713
Tmcc1,0.03402
Cops7a,-6.6e-05
Mug2,0.000119
Rasgef1a,-0.007576
Tuba8,0.157286
Bms1,0.000202
Clec4e,0.333081
Clec4d,0.195648
Zfp248,0.000363
Clec4b1,-0.097205
Clec4a2,0.006755
Klrk1,0.076768
Klrb1f,-0.100277
Clec2e,0.000782
Cd69,0.271135
Clec2d,0.211509
Clec12b,-0.000283
Clec1b,-0.009077
Tmem52b,0.000186
Gabarapl1,-0.003532
Olr1,0.117427
Klrd1,-0.212889
Rad52,0.000369
Klrc1,-0.002974
Adipor2,0.072801
Wnt5b,-0.009705
Erc1,0.03626
Klra5,-0.00014
Ccdc77,-0.118438
Klra13.ps,-0.168373
Kdm5a,0.066682
Klra2,0.15239
Magohb,0.001555
Ybx3,0.07945
Etv6,0.212728
Bcl2l14,0.149633
Lrp6,-0.000553
Dusp16,0.269969
Ddx47,0.005762
Gsg1,-0.000404
Fam234b,-0.059366
Emp1,0.149254
Grin2b,-0.000136
Atf7ip,0.056199
Plbd1,0.010246
Wbp11,0.031277
Art4,-0.189936
Mgp,-0.080375
Erp27,0.003038
Arhgdib,-0.068996
Rerg,-0.038095
Ptpro,-0.00589
Strap,0.050129
Dera,-0.001054
Lmo3,-2.1e-05
Pik3c2g,-0.006291
Plcz1,-5e-06
Plekha5,-0.066701
Aebp2,0.052271
Slco1c1,0.000225
Slco1b2,-0.044699
Slco1a4,-0.004115
Recql,-0.068901
Gys2,-0.001042
Golt1b,0.088801
Ldhb,0.103241
Kcnj8,0.036305
Abcc9,-0.002816
Rad18,0.054305
Sspn,-0.077936
Bhlhe41,-0.068454
Srgap3,-0.030713
Rassf8,-0.007249
Lrmp,-0.086432
Thumpd3,-0.000157
Kras,0.068287
Bcat1,0.089758
Mtmr14,0.000261
Cpne9,0.00044
Ogg1,-0.066976
Camk1,-0.117508
Etnk1,0.12421
Ttll3,0.000477
Cidec,0.015114
C2cd5,0.000217
Il17rc,0.013041
Cmas,-0.000472
St8sia1,2.5e-05
Creld1,-0.061715
Emc3,0.000441
Itpr2,-0.001939
Med21,-0.064696
Smco2,1.4e-05
Sec13,0.000307
Ccdc91,-0.043432
Atp2b2,-0.007581
Far2,-0.002307
Ergic2,0.043075
Tmtc1,0.001187
Slc6a11,0.000961
Caprin2,-0.078371
Slc6a1,-0.000477
Dennd5b,-0.088622
Atg7,-5.9e-05
Vgll4,-0.000504
Tamm41,0.00094
Timp4,0.003767
Cand2,-0.052474
Efcab12,-0.001392
Mbd4,-0.006614
Ift122,-0.00401
Rho,-1.1e-05
Klrb1c,-0.041404
Necap1,0.000148
Pianp,-0.002431
Ing4,-0.000776
Mrpl51,-0.034452
Cd27,-0.051011
Vamp1,-0.076793
Ltbr,0.16256
Scnn1a,-0.00141
Tnfrsf1a,0.281958
Cd9,0.000273
Dyrk4,7.8e-05
Rad51ap1,-0.052949
D6Wsu163e,0.000212
Prmt8,-1.1e-05
Tspan11,-0.000473
Tspan9,-0.094696
Tead4,0.079
Fkbp4,-0.117496
Pzp,-0.000354
Klrb1a,-0.044527
Clec2j,-3.4e-05
Clec2h,-0.04995
Clec2i,-0.089461
Ceacam12,0.001261
Psg28,0.002118
Strn4,-0.000598
Slc8a2,0.000454
Sult2a8,-0.00916
Mzf1,-0.000537
Slc27a5,-0.000116
Zfp606,-0.072461
Zik1,-0.000114
Mark4,0.08428
Ckm,0.001008
Ercc2,-0.001005
Rtn2,-0.050484
Ppm1n,0.001383
Vasp,0.13178
Gipr,-0.000158
Qpctl,-0.000491
Dmpk,-0.104076
Dmwd,0.002137
Nova2,-6.8e-05
Pglyrp1,0.186193
Pdcd5,0.026116
Uri1,0.002468
Pop4,0.038291
Zfp939,0.001266
Lilra6,0.101793
Ttyh1,0.001509
Tmem238,-0.001863
Rpl28,-0.061198
Sbk2,-0.000324
U2af2,1.2e-05
Zfp583,-0.032435
Zfp273,-0.068727
Cyfip1,0.175162
Oca2,-4.1e-05
Herc2,-0.048579
Nipa2,0.135898
Psd3,-0.042098
Siglecg,-0.116021
Zfp719,0.032559
Csrp3,-0.000419
Zdhhc13,0.065052
Ceacam18,0.149502
Siglece,0.247934
Cyp2b10,-0.000216
Lypd5,0.009222
Zfp108,-0.039892
Tdrd12,0.006207
Slc7a9,0.001597
Faap24,-0.010753
Rhpn2,-0.00305
Slc7a10,-0.034537
Gas2,-0.002252
Kctd15,-0.003167
Slc17a6,0.005088
Prmt3,0.00028
Asb7,0.041914
Cers3,0.000855
Snrpa1,0.054284
Pcsk6,-0.07238
Tarsl2,-0.117346
Tjp1,0.005072
Fam189a1,-0.000338
Apba2,-0.00121
Mphosph10,0.092214
Mtmr10,0.061514
Trpm1,-0.002211
Chrna7,0.000116
Crtc3,0.050139
Blm,-0.000372
Furin,0.215074
Hddc3,-0.025689
Unc45a,0.011713
Vps33b,0.000855
Iqgap1,0.117324
Cib1,-7e-04
Sema4b,-0.037182
Idh2,-0.063639
Mesp2,-0.001157
Mesp1,-0.00035
Pex11a,0.201807
Plin1,0.000201
Rhcg,-0.001188
Nr2f2,-0.007241
Pgpep1l,-0.001332
Synm,-0.109034
Ttc23,-0.077717
Lrrc28,0.000572
Mef2a,0.000339
Rab38,-0.055638
Ctsc,0.114601
Nox4,-0.001256
Cd22,-0.004512
Tyrobp,0.06994
Sipa1l3,0.000954
Dpf1,0.000501
X2200002D01Rik,0.068407
Yif1b,-0.038831
Rasgrp4,0.051682
Fam98c,-0.053102
Psmd8,0.03944
Ryr1,-0.05592
Nfkbib,0.196588
Fbxo17,-0.000964
Lrfn1,0.002555
Pak4,-0.001302
Psmc4,0.067785
Zfp626,0.00228
Mfge8,-0.068286
Hapln3,-0.001027
Acan,-0.000773
Aen,0.159378
Det1,-0.009361
Mrps11,-0.041143
Mrpl46,0.040015
Ccdc90b,-0.069896
Tmem126b,-0.071453
Tmem126a,-0.00018
Sytl2,-0.005363
Ccdc83,-0.00057
Eed,0.000223
Me3,0.073297
Prss23os,-7.1e-05
Zfand6,-0.068505
Fah,-0.000599
Sh3gl3,0.000574
Ddias,1.7e-05
Rab30,-0.128178
Ndufc2,-0.035879
Anapc15,-0.003607
Tmc5,0.091088
Art2b,-0.036896
Coq7,-0.001206
Gm45837,-0.006231
Arl6ip1,0.030964
Smg1,0.081993
Xylt1,-0.06162
Nucb2,0.175837
Pik3c2a,0.086334
Ipo5,0.058594
X1110004F10Rik,0.039061
Sox6os,7.4e-05
Calcb,-0.000255
Calca,0.137916
Cyp2r1,-0.004433
Pde3b,-0.001337
Mylpf,-0.000684
Qprt,0.001633
Kif22,-0.065872
Maz,-0.050896
Pagr1a,-0.079665
Mvp,0.275109
Cdipt,0.00226
Sez6l2,0.001345
Kctd13,0.052575
Stard10,-0.120525
Ino80e,0.006443
Fchsd2,-0.071742
Klk10,0.000956
Aldoa,0.023216
Ppp4c,0.001348
Tbx6,-0.051279
Plekhb1,-0.000981
Gdpd3,-0.049839
Rab6a,0.061346
Mrpl48,-0.023994
Coro1a,-8.6e-05
Dnajb13,-0.00218
Sult1a1,0.07195
Klk7,-0.001166
Sgf29,-0.039322
Nupr1,0.320891
Ppme1,0.082089
Cln3,0.085209
Nfatc2ip,0.00032
Cd19,-0.118864
Lipt2,0.00054
Pold3,0.001192
Rabep2,-0.045066
Pgm2l1,-0.10439
Atp2a1,-0.002608
Syt3,-0.01793
Chrdl2,0.00398
Sh2b1,-0.052271
Gm9755,-0.035083
Slco2b1,-0.160427
Eif3c,0.09127
Myh14,-0.02287
Spns1,0.001264
Lat,0.003287
Rps3,-0.044181
Il21r,0.002031
Dgat2,0.183213
Il4ra,0.312564
Nsmce1,0.041561
Psma1,0.052629
Kdm8,-0.00186
Thap12,-0.000989
Copb1,0.034684
Zkscan2,0.000354
Far1,-0.001975
Acer3,0.086879
Myo7a,-0.035747
Aqp8,-0.051561
Lcmt1,-0.154039
Arhgap17,-0.017399
Disp1,-0.062327
Slc5a11,-0.056792
Parva,0.032919
Dkk3,0.001519
Pak1,0.003081
Trat1,-0.015398
Rbbp6,0.117699
BC017158,-0.111918
Slc5a2,-0.000346
Tgfb1i1,-0.001696
Cox6a2,0.001371
Itgam,0.185747
Lyve1,0.143533
Rnf141,-0.001786
Itgax,-0.094201
Adm,0.225007
Dkkl1,-0.040139
Pycard,0.066455
Fus,0.064553
Tead2,-0.005947
Cd37,-0.110283
Prss8,-0.002754
Kat8,-0.002119
Bckdk,-0.101054
Gm21974,-0.014568
Stx4a,-0.027768
Stx1b,0.000341
Fbxl19,-0.005486
Bcl7c,-0.035772
Phkg2,0.001569
Rnf40,0.063851
Prr14,0.001966
X9130019O22Rik,-0.000312
Nucb1,-0.086242
Hsd17b14,-0.007419
Bcat2,-0.10237
Fgf21,0.011675
Itgal,0.060145
Abcc6,-0.04603
Nomo1,-0.053892
Ush1c,-0.000586
Sergef,0.000293
Lamtor1,0.056608
Rgs10,-0.110878
Tial1,-0.079424
Bag3,0.102906
Fgfr2,0.001152
Ate1,-0.041355
Ldhc,-0.014758
Tacc2,0.128578
Ptpn5,0.000651
Fam24b,0.001908
Fam24a,0.000119
Acadsb,0.09485
Cpxm2,-0.046352
Chp2,-0.069876
Ern2,0.001604
Plk1,-0.090772
Dctn5,-0.050038
Ndufab1,-0.000515
Ubfd1,-0.04358
Ears2,0.001339
Gga2,-0.137968
Scnn1b,0.000338
Mettl9,0.13196
Mfsd13b,0.00064
Cdr2,-0.004428
Mrpl17,0.034004
Polr3e,0.00905
Arfip2,0.000565
Dnhd1,0.056709
Uqcrc2,-0.001603
Pdzd9,-0.001959
Rrp8,0.026331
Vwa3a,-0.000758
Ilk,0.000709
Tpp1,-0.065009
Hpx,0.000386
Cnga4,-0.000338
Cckbr,-0.000375
Crym,-0.007608
Anks4b,0.000462
Zp2,-0.000219
Tmem159,0.051052
Trim30a,0.588826
Lyrm1,0.087858
Rexo5,-0.010064
Eri2,-0.088418
Chst15,0.152728
Oat,-0.03011
Acsm3,-0.049206
Thumpd1,0.068969
Acsm2,0.050674
Lhpp,-0.111434
Gp2,0.002497
Fam53b,-0.036773
Eef1akmt2,-0.071823
Umod,-0.00176
Abraxas2,0.03826
Trim21,0.353857
Zranb1,0.043649
Pdilt,-0.000942
Ctbp2,0.061155
Acsm5,-0.020379
Rrm1,-0.100084
Uros,-0.142092
Knop1,0.000311
Mmp21,0.001053
Vsp35l,-0.015535
Bccip,0.010767
Dhx32,-0.000765
Stim1,-0.048274
Pgap2,0.080695
D7Ertd443e,-0.078531
Art1,0.031574
Mki67,-0.083138
Atp6ap2,0.034425
Usp9x,0.034241
Cask,0.049633
Swap70,-0.002207
Wee1,-0.076388
Tmem9b,0.000687
BC051019,-0.00184
Akip1,-0.082978
St5,0.053467
Trim66,0.000157
Stk33,-0.006146
Tub,0.008284
Eif3f,-0.070545
Ndufb11,-0.0544
Rbm10,-0.044628
Cdk16,-0.001086
Usp11,-0.011138
Glrx3,-0.035704
Mrgprf,-0.027833
Oraov1,0.044828
Fgf15,0.000192
Fgf3,-0.000398
Ano1,-0.036278
Fadd,-0.002292
Cttn,0.064883
Zfp300,-0.065872
Slc6a14,0.000546
Nadsyn1,-0.122629
Dock11,-0.002449
Cul4b,0.049954
Tnni2,-0.05069
Syt8,0.028709
Smarca1,-0.000869
Sash3,-0.047409
Elf4,0.083779
Rab33a,0.002302
Slc25a14,0.00226
Rbmx2,0.012997
Enox2,-0.010547
Igsf1,-0.000434
Stk26,-0.050533
Gpc4,0.065301
X3830403N18Rik,9.5e-05
Slc9a9,-0.19461
Brs3,-0.000112
Cd40lg,-0.003163
Arhgef6,-0.075839
Rbmx,0.000405
Fgf13,-0.02762
F9,0.035625
Mcf2,-0.001059
Cacna1f,-0.001985
Ccdc22,0.000988
Syp,-0.007408
Prickle3,-0.001396
Plp2,0.000498
Magix,-0.054976
Gpkow,0.054046
Praf2,-0.000865
Ccdc120,0.01649
Gripap1,0.057876
Otud5,0.136531
Pim2,0.097702
Slc35a2,-0.00152
Pqbp1,-0.03674
Timm17b,-0.081518
Hdac6,-0.001799
Gata1,-0.010886
Glod5,-0.001685
Was,-0.00026
Wdr13,-0.051439
Rbm3,0.163286
Ebp,-8.3e-05
Porcn,0.049081
Slc38a5,-0.096451
Ftsj1,-0.040351
Otc,0.000354
Rpgr,-0.052403
Dynlt3,-0.084609
Aff2,-0.001214
F8,-0.01318
Vbp1,0.046755
Fundc2,-0.042808
Mtcp1,0.002044
Brcc3,-0.001192
Rab39b,0.045068
Asb12,0.000149
Msn,0.219499
Heph,-0.000375
Gpr165,-0.000456
Pgr15l,-1.5e-05
Ophn1,-0.092425
Stard8,-0.028374
Efnb1,-0.049825
Awat2,-0.003828
Igbp1,-0.050129
Magee2,0.000261
Pbdc1,-0.007214
Magee1,-0.003633
Atrx,0.002966
Fgf16,-0.003344
Cox7b,-0.017195
Magt1,-0.028842
Itm2a,-0.003595
Tbx22,-0.000209
X2610002M06Rik,0.088983
Hmgn5,-0.076136
Sh3bgrl,-0.049389
Tnmd,-2.6e-05
Srpx2,-0.058248
Sytl4,-0.067345
Cstf2,-0.000678
Nox1,0.00045
Xkrx,-0.101752
Cenpi,-0.085587
Btk,-0.02
Gla,0.118249
X4930513O06Rik,1.6e-05
Serpina7,0.015143
Col4a6,-0.032295
Col4a5,-0.054723
Acsl4,0.134639
Chrdl1,-0.004424
Pak3,0.000339
Dcx,0.001219
Glt28d2,-0.005555
Il13ra2,0.000591
Lrch2,-0.01139
Cdkl5,-0.007416
Rs1,-0.000188
D630029K05Rik,-0.000799
Phka2,-0.004912
Slc7a3,0.041879
Adgrg2,0.057527
Pdha1,0.000738
Nlgn3,0.007972
Map3k15,0.000724
Il2rg,0.150918
Rps6ka3,0.042876
Zmym3,-0.002658
Nono,0.00032
Itgb1bp2,0.000793
Taf1,0.000369
Rps4x,-0.046952
Dmrtc1a,-0.001925
X4930519F16Rik,0.001359
Cdx4,0.000198
Chic1,0.085908
Flna,-0.03698
Tsx,0.025828
Abcb7,-0.05749
Mtm1,0.000764
Gabre,0.0017
Gpm6b,0.106723
Gabra3,-0.00222
Gabrq,-0.006881
Cetn2,-0.093046
Nsdhl,-0.071621
Zfp185,-0.009584
Hccs,-0.000344
Rbbp7,-0.039499
Amelx,0.000123
Arhgap6,-0.136368
Syap1,0.010729
Msl3,-0.060865
Ctps2,-0.004676
Xlr4c,-0.001399
Grpr,4.2e-05
Zfp275,-0.000298
Ap1s2,-0.060598
Zrsr2,0.072716
Haus7,-0.116173
Trex2,3.9e-05
Car5b,0.058064
Zfp92,0.000532
Bgn,-0.082854
Atp2b3,-0.000399
Bmx,-0.065178
Abcd1,-0.098989
Pir,-0.077877
Vegfd,-0.048321
Piga,7.2e-05
Asb11,0.001662
Dusp9,-0.021039
Asb9,0.002316
Plxnb3,-0.000239
Hcfc1,-0.031252
Renbp,0.067054
Naa10,-0.134774
Arhgap4,-0.075402
Avpr2,-0.039425
L1cam,0.003856
Irak1,-0.001595
Mecp2,0.06067
Opn1mw,1.9e-05
Tktl1,0.000989
Plxna3,-0.001886
Fam3a,-0.086621
G6pdx,0.070327
Mpp1,-9.5e-05
Dkc1,0.041292
Tceal6,0.000463
Nxf7,0.00019
Morf4l2,0.072551
Kir3dl1,-0.000413
Plp1,-0.044589
Zcchc18,-0.00118
Psmd10,0.073654
Vsig1,0.00056
Tsc22d3,0.114143
Prps1,0.043276
Rbm41,0.083561
Morc4,0.000568
Rnf128,0.003262
Atp11a,0.30447
Mcf2l,-0.020913
F7,0.001533
F10,0.113401
Proz,-0.004481
Cul4a,0.000399
Lamp1,0.000381
Adprhl1,-0.000153
Grk1,0.001589
Gas6,-0.051432
Rasa3,-0.050004
Coprs,-0.005688
Myom2,-0.001717
Angpt2,0.214182
Agpat5,0.057319
Defb8,0.000156
Nek3,-0.022081
Vps36,-0.001674
Thsd1,-0.057433
Tpte,3.5e-05
Slc25a15,0.000256
Erlin2,0.000384
Plpbp,0.002527
Adgra2,-0.007591
Brf2,0.00819
Rab11fip1,0.089819
Adrb3,-0.034549
Eif4ebp1,0.217792
Chrna6,-0.00312
Chrnb3,-0.000283
Ggn,0.000859
Cd209a,-0.016649
Cd209d,-0.077189
Tnfsf13b,0.064773
Col4a1,0.174093
Col4a2,0.144438
Rab20,0.377199
Naxd,-0.00251
Ptpn7,-0.055484
Ankrd10,-0.055806
X1700016D06Rik,0.055826
Arhgef7,0.050142
Tex29,5e-05
Leprotl1,0.107929
Dctn6,-0.03735
Gpm6a,-0.043058
Spata4,2e-06
Asb5,0.001192
Vegfc,-0.008495
Aga,-0.111647
Dlc1,0.06534
Eri1,-0.002679
Tnks,0.067966
Dusp4,0.003465
Saraf,0.065442
Mrps31,-0.001958
Smim19,-0.062964
Dkk4,0.000526
Polb,-0.011446
Ikbkb,0.026575
Plat,0.198504
Ap3m2,0.062403
Kat6a,0.073566
Ank1,-0.005735
Gpat4,0.002957
Gins4,-0.085871
Sfrp1,0.000121
Ido2,-0.001094
Ido1,0.217366
Adam18,-0.000149
Adam3,-0.002451
Adam5,-0.000309
Adam9,0.185187
Tm2d2,-0.056176
Plekha2,-0.036436
Slit2,-0.003467
X4930555F03Rik,0.000579
Tenm3,-0.000993
Dctd,0.003271
Wwc2,0.000148
Fgfr1,0.061549
Rwdd4a,0.041189
Plpp5,-0.001276
Star,-0.048945
Ash2l,-0.014045
Kcnu1,3e-06
Tti2,0.060847
Mak16,0.077342
Wrn,1e-06
Gsr,0.225524
Gtf2e2,-0.093489
Rbpms,0.056599
Frg1,0.035053
Asah1,-0.040604
Pcm1,-0.000148
Fgl1,0.05106
Pdgfrl,-0.002494
Slc7a2,0.127602
Vps37a,-0.000781
Cnot7,7.2e-05
Msmo1,0.048613
Klhl2,0.137478
Galnt7,-0.001542
Sap30,-0.004526
Scrg1,0.124165
Hpgd,-0.198384
Ednra,0.009222
Tmem184c,-0.001986
Nr3c2,-0.028314
Iqcm,0.000106
Isx,0.000425
Sin3b,0.082029
Sorbs2,-0.059409
Irf2,0.084013
Casp3,-0.000755
Cenpu,-0.003069
Cfap97,0.000175
Slc25a4,-0.029368
Ufsp2,-0.053813
Anxa10,0.002197
Pdlim3,-0.077554
Lrp2bp,0.000122
Tlr3,0.260591
Gm45753,-1.7e-05
Cbr4,-0.002319
Sh3rf1,0.052295
Nek1,-0.111127
F11,0.000104
Mfap3l,-0.056307
Triml1,0.000843
N4bp1,0.341524
Cbln1,-0.000584
Heatr3,0.012869
Adcy7,-0.105823
Brd7,-0.019071
Nkd1,-0.101834
Snx20,0.07719
Sall1,-0.001405
Rbl2,-0.059111
Aktip,-0.069191
Eif2ak3,-0.003976
Gins3,-0.043234
Setd6,-0.005611
Got2,0.077887
Cdh11,-0.066376
Smad1,0.198089
Lsm6,-0.02325
Slc10a7,0.000378
Pou4f2,-2e-06
Tnpo2,-0.023124
Vps35,2.6e-05
Orc6,-0.00109
Mylk3,-0.08503
Gpt2,0.082953
Dnaja2,0.075604
Itfg1,0.000112
Rfx1,-0.081958
Tecr,-0.093466
Tbc1d9,-0.000259
Ucp1,0.002551
Zfp330,0.041593
Il15,0.150785
Gab1,-0.072602
Smarca5,-0.0032
Hp,0.527844
Txnl4b,-0.001833
Ces1f,-0.06051
Pmfbp1,-4.1e-05
Zfp821,0.094462
Ist1,0.112287
Dhodh,-0.012417
Ap1g1,0.026298
Phlpp2,-9e-06
Irx3,0.024732
Crnde,-0.000871
Irx5,-0.001532
Mmp2,-0.081486
Gnao1,-0.01057
St3gal2,0.001511
Il34,0.08741
Amfr,0.035731
Cog4,6.6e-05
Nudt21,-0.049912
Bbs2,-0.058129
Cenpn,-0.053432
Mt4,-0.000822
Cdyl2,0.002361
Mt3,0.002666
Mt2,0.667026
Mt1,0.627336
Slc12a3,0.046377
Nudt7,-0.188736
Herpud1,0.134292
Cntnap4,0.000199
Fam192a,0.034579
Pllp,-0.047005
Arl2bp,0.058038
Cx3cl1,0.116774
Ccl22,0.32489
Ccl17,0.347567
Ciapin1,0.001511
Coq9,-0.07244
Polr2c,0.005146
Adgrg1,0.001994
Drc7,0.001914
Katnb1,-0.000892
Kifc3,-0.001692
Cngb1,-0.000397
Mmp15,-0.066529
Tmem38a,-0.000202
Usb1,0.146092
Cfap20,-0.059625
Tpm4,0.051248
Phxr4,-0.003105
B3gnt3,0.116486
Jak3,0.131552
Pgls,-0.055585
Slc27a1,-0.036775
Map1lc3b,0.122518
Mvb12a,0.007593
Mthfsd,-0.069067
Cox4i1,-4.5e-05
Emc8,-0.029124
Babam1,-0.029024
Gins2,-0.081032
Gse1,0.004756
Zdhhc7,0.000294
X6430548M08Rik,0.035937
Crispld2,0.479705
Usp10,-0.000726
Cotl1,-0.006008
Klhl36,-0.004941
Dnaaf1,0.00057
Taf1c,0.000484
Mast3,-0.071586
Pik3r2,-0.10112
Mbtps1,-0.000468
Necab2,-8.4e-05
Ifi30,0.03919
Hsbp1,-0.000977
Rab3a,-0.092306
Cdh13,0.013003
Pde4c,0.000492
Mphosph6,0.060819
Hsd17b2,0.001006
Bco1,0.036827
X1700030J22Rik,0.000185
Lsm4,0.024252
Comp,0.000387
Ntpcr,-0.081326
Map3k21,-0.056625
Mau2,0.045625
Pbx4,-0.046892
Lpar2,-0.000715
Atp13a1,0.114706
Ints10,-0.074527
Dctn1,-0.000412
Pgr,-0.037163
Cdh5,0.096176
Bean1,0.013285
Cmtm3,-0.003164
Ces2g,-0.015602
Nae1,-0.041218
Fam96b,0.000713
Rrad,0.228498
Cdh16,0.000781
Car7,-0.004044
Ces2d.ps,-2.8e-05
Cbfb,-0.072364
Ces2e,-0.014293
Tradd,0.000725
D230025D16Rik,0.001207
Hsd11b2,0.00137
Tsnaxip1,-0.000423
Ctrl,0.000311
Psmb10,0.343069
Dpep3,0.000408
Dus2,-0.000763
Nfatc3,-0.007078
Pla2g15,-0.107017
Slc7a6,0.182027
Smpd3,0.001692
Zfp90,0.035034
Has3,0.000587
Vps4a,-0.002596
Cog8,0.000245
Nip7,0.075103
Mtmr2,0.041275
Tmed6,-0.038311
Terf2,-0.037651
Cep57,-0.007901
Cyb5b,-0.051275
Maml2,-0.055863
X1700012B09Rik,-0.000402
Mre11a,-0.00162
Wwp2,0.000429
Ankrd49,0.080031
Gpr83,-0.010613
Izumo1r,-0.043957
Panx1,0.000851
Med17,-0.000646
Hephl1,-0.000141
Vstm5,-0.002504
X4931406C07Rik,-0.045073
Taf1d,0.080758
Kars,0.0867
Adat1,-0.002926
Gabarapl2,-0.056451
Tmem231,-0.000144
Chst5,-0.000448
Tmem170,0.009651
Cfdp1,0.000193
Bcar1,0.065045
Ctrb1,-0.005833
Ldhd,0.006488
Wdr59,0.059942
Aars,0.177675
Cdh15,0.01304
Bmper,0.095421
Tbx20,0.001112
Glb1l3,-0.004409
Afg3l1,0.000397
Acad8,-0.001485
Dbndd1,0.000121
Ccsap,-0.000917
Acta1,0.000365
Abcb10,-0.111642
Urb2,0.051607
Cog2,0.035035
Agt,0.002913
Capn9,-0.013047
Arv1,0.018252
X2310022B05Rik,-0.036541
X2810004N23Rik,-0.001527
Gnpat,-0.083279
Sprtn,0.042243
Egln1,-0.029643
Vps26b,-0.074137
Jam3,-0.003933
Spata19,9e-05
Snx19,0.000262
Adamts8,0.005923
St14,0.098758
Aplp2,0.004426
Trpc6,-0.000542
X1700128F08Rik,-0.00014
Birc3,0.364978
Dcun1d5,0.072975
Pdgfd,-0.026006
Sesn3,-0.086311
Usp2,0.002228
Thy1,-0.132078
Nectin1,0.000482
Trim29,0.000119
Oaf,0.002961
Pou2f3,-3e-06
Grik4,-0.001613
Sc5d,0.002536
Ubash3b,0.008548
Crtam,0.065322
Jhy,0.001385
Clmp,0.003657
Rexo2,-0.065804
Nxpe2,-0.124123
Cul5,-0.033838
Barx2,0.004923
Kcnj5,-0.000964
Ets1,-0.074938
Kirrel3,0.032981
St3gal4,0.107988
Dcps,-0.066377
Tirap,0.169508
Srpr,0.127285
Rpusd4,-0.059525
Abhd12,-0.076427
Acat1,-0.088325
Rdx,-0.027996
Fdx1,-0.001086
Pou2af1,-0.01051
Btg4,0.00327
X4833427G06Rik,-0.001661
Ppp2r1b,0.000213
Alg9,-0.000497
Cryab,-0.005509
X2310030G06Rik,0.035787
Dixdc1,-0.039974
Tex12,0.022658
Bco2,-0.072742
Pts,-0.048808
Plet1,0.123744
Cadm1,-0.094352
Bud13,0.0561
Zpr1,0.001337
Apoa5,0.006528
Apoa4,9e-04
Apoc3,-0.001225
Apoa1,-0.000879
Tagln,-0.000983
Bace1,-0.041863
Dscaml1,-0.000179
Il10ra,0.055343
Tmprss4,-0.000774
Mpzl2,0.049401
Cd3e,-0.000905
Cd3d,-0.000113
Arcn1,0.038796
Ddx6,0.066821
Treh,-0.001542
Pate4,0.000242
Ddx25,-0.043126
Pus3,0.004553
Pdzd3,-0.048707
Nlrx1,0.000851
Acrv1,-7.4e-05
Trappc4,-6e-05
Chek1,-0.084773
Slc37a4,-0.047934
Hyou1,0.047853
Stt3a,0.044429
Fez1,-0.002285
Hinfp,-0.000834
C2cd2l,-0.064291
Tmem218,-0.049389
Slc37a2,-0.191914
Dpagt1,-0.082011
Robo4,0.0792
Hmbs,-0.087986
Vps11,0.003983
Robo3,0.0018
Abcg4,-0.001656
Mcam,-0.001936
Pin1,0.012375
Olfm2,-0.000525
Icam5,0.000141
Tyk2,-0.045179
Pde4a,-0.072227
Ilf3,-0.000705
Bmp5,-0.023023
Tmed1,-0.055433
Scg3,-7.8e-05
Yipf2,-0.055791
Lysmd2,0.00139
Carm1,-0.053818
Tmod2,-0.002483
Smarca4,0.001971
Bcl2l10,0.000326
Gnb5,-0.003344
Ldlr,0.058477
Kank2,-0.073137
Dock6,-0.074915
Polr2m,-0.000326
Rab27a,0.11983
Aqp9,-0.001134
Lipc,-0.067462
Sltm,9.2e-05
Rsl24d1,0.069249
Nedd4,-0.056169
Rnf111,0.036233
Ccnb2,-0.156497
Myo1e,-0.047489
Mns1,-0.147646
Fam81a,-0.102526
Gcnt3,0.007332
Tcf12,-0.074151
Anxa2,0.191458
Cgnl1,-7.4e-05
Ice2,-0.091899
Rora,0.074509
Rp9,-0.056029
Itga11,-0.045678
Fem1b,0.000105
Cln6,-0.075769
Calml4,-0.062449
Anp32a,-0.087157
Irak1bp1,0.000854
Glce,-0.002083
Phip,0.079425
Kif23,-0.083371
Ankk1,-8.4e-05
Lca5,-0.059435
Drd2,-0.003323
Sh3bgrl2,-0.001427
Elovl4,-9e-06
Bckdhb,0.001469
Zw10,-0.086881
Tent5a,0.222836
Usp28,-0.001454
Tmprss5,-0.001171
Htr3a,1.1e-05
Nnmt,0.092354
Cyp19a1,4.6e-05
Paqr5,0.042934
Idh3a,-0.041512
Tle3,0.186794
Acsbg1,-0.008735
Dnaja4,-0.000422
Imp3,7.4e-05
Thsd4,-0.00096
Ptpn9,0.001081
Crabp1,-0.004766
Nr2e3,-0.000265
Ireb2,0.048693
Pkm,0.074416
Man2c1,-0.050492
Celf6,-8.5e-05
Neil1,-0.066252
Commd4,-0.001225
X1700017B05Rik,0.11008
Psma4,0.063631
Chrna3,0.000666
Fam219b,-0.072705
Mpi,-0.076697
Ube2q2,0.028335
Ulk3,-0.000636
Fbxo22,-0.004019
Cyp1a2,-0.000446
Nrg4,0.000605
Csk,-0.075328
Tmem266,0.001096
Etfa,-0.000714
Cyp1a1,-0.081231
Clk3,-0.00356
Isl2,-0.000414
Rcn2,-0.000812
Pstpip1,0.085409
Cyp11a1,0.005391
Tspan3,0.082109
